ritual_number,ritual_name,feature_label,coder1,coder2,disagreement_type,text_excerpt
Ritual636,Initial Ceremony to Mung,Synchronous Chanting,1,0,Coder1 Only,"Initial Ceremony to Mung

A sacrifice is performed at Tingbung during the summer season before the tilling of the fields for millet and maize. The sacrifice is performed early in the morning in any pl"
Ritual644,The Common Meal,Synchronous Chanting,1,0,Coder1 Only,"On the last day of the old year all the members of the family, the father and mother, their children, the sons-in-law, the daughters-in-law, and the grandchildren assemble in the house of the family. "
Ritual645,The Ceremonial Figure of the Old Year,Synchronous Chanting,1,0,Coder1 Only,"The Ceremonial Figure of the Old Year

In the afternoon the bong thíng and the mŭn mould some rice into the shape of a figure representing the old year, place the figure on a large, round basket, and "
Ritual646,The Second Day of the New Year,Synchronous Chanting,1,0,Coder1 Only,"The Second Day of the New Year

Very early before dawn all the members of the family take a bath and put on new clothes. Before sunrise they assemble in front of the house altar, and while the head of"
Ritual7,Weather Dance,Synchronous Chanting,0,1,Coder2 Only,"The Weather Dancers.

Early on the fifth day, a booth is built inside the dancing lodge opposite the entrance. A slight excavation about six feet square is made over which is erected a shelter of gree"
Ritual77,Mesa Loqaña (Generaly Propitiatory Rite),Synchronous Chanting,1,0,Coder1 Only,"Generaly Propitiatory Rite, Mesa Loqaña, ""To Offer a Mesa""

Although the antiquity of this ceremony in its present form is uncertain, it seems quite clear that the great majority of the offerings as w"
Ritual90,"Baptism (""Throw the Water"")",Synchronous Chanting,1,0,Coder1 Only,"Baptism

After a month of seclusion when the child is hidden from public view, the soul is expected to have found its place in the child's body. A ceremony called ki'n ha[unknown] (water ceremony) the"
Ritual91,Baptism,Synchronous Chanting,1,0,Coder1 Only,"The church ceremony is followed by another ceremony in the house of the child's parents. As the group returning from the church enters the house, they are greeted with the pat[unknown]o[unknown]tan by"
Ritual94,Ceremonial Drinking,Synchronous Chanting,1,0,Coder1 Only,"Ceremonial Drinking

The full expression of a ceremonial drinking cycle has a number of performance correlates which permit its identification. While it is generally true that ceremonial drinking, in "
Ritual102,Test of Maturity,Synchronous Dancing,1,0,Coder1 Only,"The test of maturity

We crowded into the hut in which the fire had been extinguished preparatory to its ritual relighting later in the day. Two large water pots were set on the floor and into each wa"
Ritual109,Rites of the Last Night,Synchronous Dancing,0,1,Coder2 Only,"Rites of the Last Night

The blind bridegroom

We were called to the initiation hut at about eight o’clock in the evening. A big fire was lit on the hearth and water was already bubbling in three grea"
Ritual122,Am-hang,Synchronous Dancing,1,0,Coder1 Only,"One event that seems quintessentially Lukang is am-hang , a nocturnal procession of deities, mostly Ong Ia, for the purpose of expelling malign influences from an area. It is an occasional rite that c"
Ritual139,Kava Ceremony,Synchronous Dancing,1,0,Coder1 Only,"Kava Ceremony

Kava drinking is part of all important ceremonials. It is indispensable in rites connected with the chief--his death, marriage, circumcision; the reception of a visiting chief; and the "
Ritual157,Curing Ritual,Synchronous Dancing,0,1,Coder2 Only,"Curing

Curing practice lacks the mise en scène of the winter performance held in the figure-decked shaman’s lodge, for it always takes place in the patient’s home. Nevertheless, it must be quite an i"
Ritual164,Tattooing of Girls,Synchronous Dancing,1,0,Coder1 Only,There is one more custom which is practised among many Chaco [unavailable] at the time of puberty and therefore may be considered in this connection — the custom of tattooing . Tattooing is done by th
Ritual168,Girka,Synchronous Dancing,1,0,Coder1 Only,"One final point can be made about the social dynamics of cult ritual, and that includes the differentiation and integration of initiates. During the girka ritual the poles of cult leadership are symbo"
Ritual185,Exorcism,Synchronous Dancing,1,0,Coder1 Only,"Rites of exorcism are usually employed to combat disease, which is almost always thought to be occasioned by sorcery. They are presided over by a witch-doctor or fetish-expert, or by a diviner or, mor"
Ritual205,Molanggo,Synchronous Dancing,1,0,Coder1 Only,"They day before the rice was planted a big feast, molanggo , was given at which a large number of gods and spirits were invoked. It was sometimes said that it served to “bring the anitu and the lamoa "
Ritual23a,"Ritual cleaning of the grove, Baha festival",Synchronous Dancing,1,0,Coder1 Only,"The festival commences with the villagers washing and the priest, the godet or messenger and a few others going down to the grove in the morning to get it ready for the rites. They put up two sheds of"
Ritual243,NA,Synchronous Dancing,0,1,Coder2 Only,-
Ritual250,The Momtcit Ceremony,Synchronous Dancing,1,0,Coder1 Only,"Until the cessation of Indian warfare, the Momtcit ceremony was celebrated annually in the Wiklavi kiva of Oraibi, in the fall of the year, not long after the close of the women's Marau ritual which g"
Ritual282,"Pomblang Festival, Day 1 and 2",Synchronous Dancing,1,0,Coder1 Only,It is being held every year since the days of U Shillong who was supposed to be the founder of original Khyriem State. They celebrate it to perpetuate his memory and pay homage with a view to ensure r
Ritual287,Death Ceremonies,Synchronous Dancing,1,0,Coder1 Only,"Ceremonies Attending Death

The death customs of the Khasis are not only very elaborate, but possess a significance of their own, it is, therefore, necessary to describe them in detail; they are as fo"
Ritual3,Hundred Willow Sweat House,Synchronous Dancing,0,1,Coder2 Only,"The Hundred—Willow Sweathouse.

As stated before, a sweathouse of special form is constructed on the third day. This is said to have originated with Scar-face, it being the house into which he was tak"
Ritual335,Fruit House Ritual,Synchronous Dancing,0,1,Coder2 Only,"In the Pirá-paraná region, the most frequently held communal dance or ritual involves bringing large quantities of wild or cultivated tree-fruit ( He rika ) into the house to the sound of the He instr"
Ritual353,Akombo Agbande,Synchronous Dancing,1,0,Coder1 Only,"The Akombo Agbande

This rite is performed for a woman with child. The ceremony is as follows: The woman kneels on one knee before the performer of the rite. He takes a chicken and he touches her brea"
Ritual354,The Ingbianjol,Synchronous Dancing,1,0,Coder1 Only,"The Akombo Agbande

This rite is performed for a woman with child. The ceremony is as follows: The woman kneels on one knee before the performer of the rite. He takes a chicken and he touches her brea"
Ritual360,Circumcision,Synchronous Dancing,1,0,Coder1 Only,"Circumcision

Though female initiation takes place among the Mandinka and Jola, there is no such ceremony for Wolof women.

Boys are normally circumcised when aged between eight and twelve, though for"
Ritual361,Circumcision-related,Synchronous Dancing,1,0,Coder1 Only,"The first major ceremony in which the whole village is involved occurs with the appearance of a monster ( mam) who comes to “eat” the boys. The monster is heard roaring in the night, and as it approac"
Ritual362,Circumcision-related,Synchronous Dancing,1,0,Coder1 Only,The next major ceremony is the Samba s[unknown]ho which can be witnessed by women. The selbe begin by performing a whipping dance. They parade rhythmically round the s[unknown]chu mam with a long thin
Ritual363,Circumcision-related,Synchronous Dancing,1,0,Coder1 Only,"In the final ceremony, the shed is burnt early in the morning, and the boys are taken off to bathe. They put on new trousers and have their heads shaved into distinctive patterns. Henceforth they are "
Ritual372,Girls' Menstruation Rite,Synchronous Dancing,1,0,Coder1 Only,"The most important of the life cycle ceremonies was the puberty vision quest, performed by girls and boys alike, although girls had additional rites of seclusion and cleansing at the time of their fir"
Ritual379,Ritual to Bring Good Weather,Synchronous Dancing,1,0,Coder1 Only,"Ritual to Bring Good Weather

When bad weather, a snowfall or a rain storm, is threatening to begin or become worse, the counsellor orders that the chowh-toxen (‘water-cease’) rite be performed. In th"
Ritual38,Curing ritual including yumari dance,Synchronous Dancing,0,1,Coder2 Only,"Curing Rituals

Among the gentiles all major rituals are carried out at the level of the rancho; there is no central location which serves as a community center for ceremonial or other group activitie"
Ritual4,NA,Synchronous Dancing,0,1,Coder2 Only,-
Ritual418,Throwing the Firestick,Synchronous Dancing,0,1,Coder2 Only,"Throwing the Firestick

The opening rite of the ritual season is the “throwing of the firestick” (te pe o te potunea). The direction of this event is one of the special duties and privileges of the Ar"
Ritual428,Annual Dova for Rain,Synchronous Dancing,1,0,Coder1 Only,"Prayers at Muslim Shrines

The specific tradition in practiced and lived Islam whereby a person’s prayers to God via a mediator (a [unknown]sehit, hod[unknown]za, or bula ) are believed to be more pow"
Ritual431b,Mevlud,Synchronous Dancing,0,1,Coder2 Only,"Most villages of Skoplje Polje have one day of the year on which they traditionally demonstrate their unity to the outside world. In Moslem villages the occasion is a mevlud, a celebration in honor of"
Ritual432b,Private Mevlud,Synchronous Dancing,0,1,Coder2 Only,"Most villages of Skoplje Polje have one day of the year on which they traditionally demonstrate their unity to the outside world. In Moslem villages the occasion is a mevlud, a celebration in honor of"
Ritual433b,Recital and Chanting of Mevlud Poems,Synchronous Dancing,0,1,Coder2 Only,"Most villages of Skoplje Polje have one day of the year on which they traditionally demonstrate their unity to the outside world. In Moslem villages the occasion is a mevlud, a celebration in honor of"
Ritual437,Sveti Roko,Synchronous Dancing,0,1,Coder2 Only,"The Role of the Church

The historical prominence of Christianity and the Church is very much in evidence. The earliest church remains go back to a Roman occupation of the island. However, the more st"
Ritual449,Indio Bárbaro Procession,Synchronous Dancing,1,0,Coder1 Only,"1/15/88: End of the Christmas season, indio bárbaro procession. This event occurred in the afternoon. The single male dancer wore a black shirt, black pants, and a tight fitting black sweater cap. In "
Ritual463,"Wake, Funeral, and Burial for a Santa Fe Man",Synchronous Dancing,1,0,Coder1 Only,"Wake, Funeral, and Burial for a Santa Fe Man: This was a somber, formal affair in all respects. Death occurred at 1:30 a.m. in the Trujillo hospital, after which the body of the deceased was transferr"
Ritual501,Habi Sanuka,Synchronous Dancing,1,0,Coder1 Only,"The habi sanuka, or festival of the “small rattles,” is a ritual in its own right. It is described by Barral (1957:104) as a theurgic dance, which, celebrated separately, involves a communal meal and "
Ritual505,Wedding; Preliminary Ceremonies,Synchronous Dancing,1,0,Coder1 Only,"Preliminary Ceremonies

According to Hedayat, there must be no basement beneath the room chosen for the contract. The women who are there should not have had any recognized misfortune, should have no "
